t_TOST,p_dens_TOST
-21.75,0.000113417262107292
-21.45,0
-21.15,0
-20.85,0
-20.55,0
-20.25,0
-19.95,0
-19.65,0
-19.35,0
-19.05,0.000113417262107292
-18.75,0
-18.45,0
-18.15,0
-17.85,0
-17.55,0
-17.25,0.000113417262107292
-16.95,0
-16.65,0.000113417262107292
-16.35,0
-16.05,0.000226834524214585
-15.75,0
-15.45,0.000226834524214585
-15.15,0.000113417262107292
-14.85,0.000113417262107292
-14.55,0.000226834524214585
-14.25,0.000113417262107292
-13.95,0.000340251786321877
-13.65,0.000680503572643755
-13.35,0
-13.05,0.00045366904842917
-12.75,0.000567086310536462
-12.45,0.000226834524214585
-12.15,0.000567086310536462
-11.85,0.00045366904842917
-11.55,0.000680503572643755
-11.25,0.00090733809685834
-10.95,0.00090733809685834
-10.65,0.000793920834751047
-10.35,0.00124758988318022
-10.05,0.00113417262107292
-9.75,0.000793920834751047
-9.45,0.00113417262107292
-9.15,0.00192809345582397
-8.85,0.00181467619371668
-8.55,0.00272201429057502
-8.25,0.00328910060111148
-7.95,0.00249517976636043
-7.65,0.00351593512532607
-7.35,0.00555744584325733
-7.05,0.00476352500850628
-6.75,0.00533061131904275
-6.45,0.00771237382329589
-6.15,0.00986730180333444
-5.85,0.0125893160939095
-5.55,0.0132698196665532
-5.25,0.0164455030055574
-4.95,0.0176930928887376
-4.65,0.0235907905183168
-4.35,0.0261993875467846
-4.05,0.0320970851763638
-3.75,0.0403765453101961
-3.45,0.045366904842917
-3.15,0.0587501417715775
-2.85,0.0656685947601223
-2.55,0.0849495293183621
-2.25,0.095383917432233
-1.95,0.119541794261086
-1.65,0.131904275830781
-1.35,0.156402404445956
-1.05,0.192128842009753
-0.749999999999998,0.19269592832029
-0.449999999999998,0.202676647385732
-0.15,0.188839741408642
0.15,0.18180787115799
0.450000000000001,0.155268231824883
0.750000000000002,0.148349778836339
1.05,0.131904275830781
1.35,0.1244187365317
1.65,0.102302370420778
1.95,0.0903935578995121
2.25,0.0861971192015423
2.55,0.0742883066802766
2.85,0.0670296019054099
3.15,0.059317228082114
3.45,0.0510377679482816
3.75,0.050810933424067
4.05,0.0403765453101961
4.35,0.0344788476806169
4.65,0.0316434161279346
4.95,0.0257457184983554
5.25,0.0249517976636043
5.55,0.0163320857434501
5.85,0.0140637405013043
6.15,0.00873312918226152
6.45,0.00839287739593964
6.75,0.00839287739593964
7.05,0.00533061131904275
7.35,0.00623794941590108
7.65,0.00374276964954065
7.95,0.00204151071793126
8.25,0.000680503572643755
8.55,0.000680503572643755
8.85,0.000340251786321877
9.15,0.000113417262107292
