SAR_dist_fit_x,SAR_dist_fit_y
0,0.708446917660612
1,0.0694004801772946
2,0.0369429126154587
3,0.0250140255680303
4,0.0187478043914218
5,0.0148656411183973
6,0.0122178317556646
7,0.0102943472777032
8,0.00883337422676746
9,0.0076863203429782
10,0.00676240730168813
11,0.00600295569719962
12,0.00536830037749357
13,0.00483063733676205
14,0.00436988121918524
15,0.00397114985483981
16,0.00362317489923132
17,0.00331726311571318
18,0.00304659748314659
19,0.00280575488465682
20,0.00259036576544674
21,0.00239686918539209
22,0.00222233339703422
23,0.00206432232630364
24,0.00192079478388449
25,0.0017900273916669
26,0.00167055494400579
27,0.00156112375818667
28,0.00146065482072165
29,0.0013682144045073
30,0.00128299044300204
31,0.00120427338349912
32,0.00113144055642936
33,0.00106394332769687
34,0.00100129647099573
35,0.000943069323854174
36,0.000888878386661244
37,0.00083838109650527
38,0.000791270563262705
39,0.000747271098318921
40,0.000706134399710798
41,0.000667636283651374
42,0.000631573873034346
43,0.000597763169890733
44,0.000566036951841932
45,0.000536242943083456
46,0.000508242218902019
47,0.000481907809594908
48,0.000457123475258818
49,0.000433782627498865
50,0.000411787377877936
51,0.000391047696041114
52,0.000371480663031878
53,0.000353009807467544
54,0.000335564514037457
55,0.000319079495295426
56,0.000303494318985626
57,0.000288752984211916
58,0.000274803540668524
59,0.000261597745919922
60,0.000249090756375127
61,0.00023724084816293
62,0.000226009164595571
63,0.000215359487321898
64,0.00020525802862685
65,0.000195673242642482
66,0.000186575653500705
67,0.000177937698690317
68,0.000169733586080762
69,0.000161939163250986
70,0.000154531797913835
71,0.000147490268361306
72,0.00014079466297246
73,0.000134426287929444
74,0.000128367582377797
75,0.000122602040347139
76,0.000117114138819192
77,0.000111889271392693
78,0.000106913687050163
79,0.000102174433580831
80,9.76593052579026e-05
81,9.33567944071413e-05
82,8.92560465388556e-05
83,8.53468187462584e-05
84,8.16194411010368e-05
85,7.80647808019311e-05
86,7.46742088545699e-05
87,7.14395690804768e-05
88,6.8353149271863e-05
89,6.5407654324484e-05
90,6.25961811958825e-05
91,5.99121955493676e-05
92,5.73495099562035e-05
93,5.49022635391173e-05
94,5.25649029502221e-05
95,5.03321645851662e-05
96,4.81990579435872e-05
97,4.6160850053052e-05
98,4.42130508805326e-05
99,4.23513996613958e-05
100,4.0571852081539e-05
101,3.8870568253197e-05
102,3.72439014297561e-05
103,3.56883874089265e-05
104,3.42007345775961e-05
105,3.27778145552076e-05
106,3.14166533956555e-05
107,3.01144233107686e-05
108,2.88684348810967e-05
109,2.76761297222209e-05
110,2.65350735771521e-05
111,2.54429498074167e-05
112,2.43975532575052e-05
113,2.33967844689406e-05
114,2.24386442221492e-05
115,2.15212283855767e-05
116,2.06427230530962e-05
117,1.98013999519504e-05
118,1.89956121047057e-05
119,1.82237897298116e-05
120,1.74844363663893e-05
121,1.67761252098106e-05
122,1.609749564553e-05
123,1.54472499694554e-05
124,1.48241502838959e-05
125,1.42270155588256e-05
126,1.36547188488684e-05
127,1.3106184657037e-05
128,1.25803864367806e-05
129,1.20763442244702e-05
130,1.15931223949355e-05
131,1.11298275330819e-05
132,1.06856064151058e-05
133,1.02596440931936e-05
134,9.85116207794496e-06
135,9.45941661315017e-06
136,9.08369703783535e-06
137,8.72332423082624e-06
138,8.37764913332327e-06
139,8.04605134529575e-06
140,7.72793779170507e-06
