exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
6.5999999999999925,0.1,5.780716770389676,5.74323752718111,0,1,682.0,1,1,5.372165257685982e-5,6.899674445255006e-5
3.900000000000002,0.1,5.16993167661328,9.060996974028512,1,0,1613.0,1,1,0.00034812969451026513,0.00010836098690491203
6.299999999999994,0.1,5.157422951689602,9.292374962309824,0,1,1615.0,1,1,0.004124208377362021,0.006295082137538757
7.999999999999988,0.1,8.789480961356334,5.955638568327685,1,0,1785.0,0,1,0.0009496966307627894,0.0005961649768622819
10.799999999999978,0.1,3.0875468424106316,7.865526814542956,0,0,1794.0,0,1,0.00031134974275368954,0.0011619380778724326
5.1999999999999975,0.1,3.3386217286531688,8.974436918819096,1,0,2061.0,0,1,4.2664330339740025e-11,8.009351389268975e-11
3.900000000000002,0.1,6.669920663607247,6.149365243164558,1,0,3411.0,0,1,0.0014205581352472365,0.00037746582089203664
4.6,0.1,3.739490812822535,5.831016561416424,1,1,4427.0,1,1,2.874926802564229e-8,3.2640780573805136e-8
3.700000000000002,0.1,3.574712896918552,6.681564741189659,1,1,5004.0,1,1,0.00025908911834508747,0.00014447719261082042
4.799999999999999,0.1,3.675840855160056,8.495489284534171,0,1,5868.0,1,1,3.70022854599401,5.2033294305151925
7.799999999999988,0.1,2.7566829958624695,5.17923553230414,1,0,5871.0,0,1,0.007710113431183294,0.01929927390017131
7.19999999999999,0.1,8.417783227266055,6.278003811643094,1,0,5875.0,1,1,0.024931609205507646,0.01346510035738064
8.299999999999986,0.1,7.503906486845852,6.223141731117799,1,1,5876.0,1,1,1.625002634834622e-13,2.1806688416244721e-13
10.899999999999977,0.1,6.35833727944291,9.364400183116594,1,0,5879.0,0,1,4.6189276424066055e-6,1.6068501583833847e-5
8.999999999999984,0.1,2.0224546249148516,7.082773879582578,0,0,6053.0,0,1,7.623132577903494e-7,2.4896196249890222e-6
3.4000000000000017,0.1,4.153678752153358,7.178125233263185,1,0,6610.0,1,1,0.2826402592195254,0.08596252076371666
5.299999999999997,0.1,5.109478423470359,7.658089634768482,1,1,6837.0,1,1,4.541087412900347e-6,3.0846502331897706e-6
9.299999999999983,0.1,2.9041829219671356,6.576700741300284,1,0,6943.0,0,1,2.7389853885113516e-7,8.441902319881818e-7
5.299999999999997,0.1,5.480170618297243,5.793570318785919,1,0,8050.0,0,1,0.007480464472070075,0.0036433780591837257
6.999999999999991,0.1,7.211804114305116,8.60232538896083,1,0,8050.0,1,1,3.083927632869987,1.8727651216020549
6.999999999999991,0.1,10.486410549864988,8.659362625131259,1,0,8158.0,1,1,0.00600628483895412,0.0025711964203729053
4.799999999999999,0.1,3.4329552230189213,6.271561114329521,1,0,9572.0,0,1,0.9498597335816652,1.3869475450589688
8.699999999999985,0.1,9.014403943540405,5.528805697437927,1,0,9575.0,0,1,0.0011535465590856876,0.000831034682989654
4.4,0.1,4.002153013377106,9.171094405141503,1,1,9579.0,1,1,2.0180100169232125e-5,1.5819603933578632e-5
7.499999999999989,0.1,3.396191708947073,9.050295738405158,1,0,9579.0,0,1,0.5465917525716493,1.6859741094847223
5.099999999999998,0.1,4.427596971366153,8.872493876514731,1,1,9957.0,1,1,0.0019872607015767956,0.002126333904188895
5.099999999999998,0.1,3.8470592418091694,7.030594343876455,1,1,10264.0,1,1,5.640149171554869e-5,8.198639214676006e-5
4.200000000000001,0.1,3.9922328780864187,8.384215476133821,1,1,10293.0,1,1,2.3261808746225724e-12,1.5831909139190606e-12
4.6,0.1,2.9719264948704773,6.114280509947997,1,1,10447.0,1,1,1.0936269423093754,1.7552527667307072
7.099999999999991,0.1,3.600480137879981,9.267639124364356,1,0,10457.0,0,1,0.05999073183451693,0.1671064262513349
3.5000000000000018,0.1,4.5630457569006735,9.379070078600392,1,0,10769.0,0,1,1.9233084963962785,0.5660610345715824
8.399999999999986,0.1,2.47380554794712,7.238656526685652,1,0,10777.0,0,1,0.14189439973385684,0.4548890698643329
3.600000000000002,0.1,3.344696627244677,6.096799313529258,1,0,10878.0,0,1,0.28976384018482515,0.18345615059594358
4.100000000000001,0.1,3.1295341224046944,6.323161634852669,1,1,10882.0,1,1,0.03492448318967362,0.04097394872447429
5.099999999999998,0.1,4.527388709427007,6.8508793839873245,1,1,10885.0,1,1,0.011858520796792962,0.011601232403663375
3.700000000000002,0.1,2.6675875256861286,8.191053883705928,1,0,11073.0,0,1,0.01238174163963534,0.015504979765721556
4.300000000000001,0.1,5.0642017847488585,9.683117857739083,1,0,12844.0,0,1,0.21672121426577817,0.07939613632723204
4.100000000000001,0.1,3.2924106206154544,8.952513536095767,1,0,13513.0,0,1,6.5518164509163415e-9,7.541420803240524e-9
2.700000000000001,0.1,3.587697800302909,7.955721235982862,1,0,14028.0,1,1,6.554960330921512e-6,1.633883171906076e-6
4.300000000000001,0.1,7.346613233059723,9.950236588703206,1,0,14030.0,1,1,0.006611842549045878,0.0018662927459829513
5.299999999999997,0.1,4.907744335653818,6.81047158740027,1,1,15736.0,1,1,1.8361956078764105e-9,1.5419306520274828e-9
3.800000000000002,0.1,3.5149349570084416,8.16717934891157,1,1,15846.0,1,1,4.553322293259434e-9,2.9819220754047397e-9
3.1000000000000014,0.1,2.3727403580160304,9.055778874875726,1,0,15848.0,0,1,1.2875993780745144e-10,1.2921295609202877e-10
4.799999999999999,0.1,1.5939603716942692,9.70622919181908,1,1,15850.0,1,1,1.520768060255206,3.9644597026306374
5.099999999999998,0.1,5.563035310879227,8.073741514593692,1,0,15851.0,0,1,3.420572509630069e-11,1.525998978647227e-11
3.0000000000000013,0.1,2.919408945280252,9.335871440347578,1,1,15857.0,1,1,0.0021109695371589,0.0009010854924418787
11.099999999999977,0.1,5.215013053627458,7.536292012175193,1,0,15861.0,0,1,8.335047405667924,28.52776668552975
5.399999999999997,0.1,9.542843866449513,7.541958954304927,1,0,15864.0,1,1,3.6819025722487515,1.1834276670549841
4.899999999999999,0.1,6.442473348763198,5.833761122979803,1,0,15864.0,1,1,0.1406145523730528,0.051324481102915195
6.099999999999994,0.1,6.110488567759226,6.743873668270499,1,1,15865.0,1,1,2.774796251361393e-10,1.5636267211372473e-10
10.399999999999979,0.1,4.323048114623632,6.18441711751739,0,0,15865.0,0,1,0.0003962115827204307,0.0012033596513134476
9.699999999999982,0.1,3.5819305421561447,6.302411008585978,1,0,16212.0,0,1,1.9807116075707463e-6,6.081717608280587e-6
2.2000000000000006,0.1,6.272073916920922,6.889094699944332,1,0,17490.0,1,1,1.8505151760355276,0.31192198734773713
3.0000000000000013,0.1,5.901854797999197,9.69671549710504,1,0,18088.0,1,1,6.93666474471197,1.4954143468292171
3.3000000000000016,0.1,5.10296229959217,6.111411558250523,1,0,18090.0,0,1,0.1011273125174388,0.02570749824781963
