exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
5.399999999999997,0.1,7.865624474410555,8.892402273607283,1,0,1199.0,1,1,2.4729836072435263e-5,8.947981512022563e-6
7.599999999999989,0.1,6.801506463941044,9.92655547362427,1,1,2533.0,1,1,4.6324116095319345e-5,6.181797306399504e-5
16.99999999999997,0.1,11.029252276564689,6.1189300151133,0,0,6986.0,0,1,0.1452884771475999,0.5076276878933832
4.699999999999999,0.1,5.4197107003651706,8.137762486673381,1,0,7270.0,0,1,11.429538690712006,4.5445264224508986
5.1999999999999975,0.1,5.088456264763964,9.596899105302803,1,1,16772.0,1,1,2.0583704875992844e-8,1.3761010601418357e-8
7.19999999999999,0.1,10.087279640870122,5.947862842125756,1,0,18781.0,1,1,4.312177344423829e-7,1.98221335965499e-7
13.799999999999967,0.1,6.746869580753598,7.218275714904637,0,0,28706.0,0,1,0.0012385760445610316,0.004556131675964563
5.699999999999996,0.1,6.7621756994987985,5.720900760918088,1,0,35217.0,0,1,9.32531218230467e-17,4.1513740494931566e-17
7.39999999999999,0.1,3.9922328780864187,8.384215476133821,1,0,35217.0,0,1,4.652361749245145e-12,1.2836103210399913e-11
3.600000000000002,0.1,6.2508943419120095,6.637846661738271,1,0,35217.0,1,1,1.4268341719422552e-11,3.5888769560515934e-12
4.200000000000001,0.1,4.826355065446982,5.150704647031949,1,0,35644.0,1,1,1.8349939368519437e-6,6.76767041634145e-7
10.899999999999977,0.1,7.033989559069498,9.26177452674802,1,0,39480.0,0,1,0.1423623249452931,0.45898567570236787
15.099999999999962,0.1,6.06554647608112,9.226602031677789,1,0,40235.0,0,1,0.13899720976036928,0.6288839546138899
5.1999999999999975,0.1,2.7592832586483165,6.192048567756964,1,0,46809.0,0,1,4.805596009581244e-13,9.582989422400984e-13
5.399999999999997,0.1,4.753497772445985,8.247731034661383,1,1,48648.0,1,1,4.793954776594802e-9,5.214804169471335e-9
9.399999999999983,0.1,4.508148188099234,5.083444129808937,0,0,48706.0,0,1,4.627324356804418e-12,1.1766247747726121e-11
4.4,0.1,4.804022665732791,9.63238632110308,1,0,53851.0,1,1,0.012026174191195815,0.004818754071003616
8.799999999999985,0.1,9.61424390112949,5.723617745144271,1,0,54848.0,1,1,1.619293470440937,1.1061957696015772
4.6,0.1,4.571963941953357,6.801299144824005,1,1,57362.0,1,1,5.521759445336672e-13,2.964589268648294e-13
8.599999999999985,0.1,9.616387556815072,8.587598269726731,1,0,58750.0,0,1,0.11924854652879469,0.07788191961774425
3.2000000000000015,0.1,4.34236787778763,7.444067295139243,1,0,61522.0,0,1,0.045021958556698716,0.012194677376316037
5.1999999999999975,0.1,4.881108945904625,5.076646308565457,1,1,61527.0,1,1,3.7801490203949875e-6,3.1088547238360624e-6
3.900000000000002,0.1,3.154216542396835,5.645123232223521,1,1,65337.0,1,1,14.25289195952545,14.499624787706392
8.199999999999987,0.1,9.198784182840196,8.459053691740433,1,0,65345.0,0,1,0.2628692842241754,0.16453928525751488
