exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
9.399999999999983,0.1,2.578394223600767,6.983064200283625,1,0,320.0,0,1,0.7869733134036285,2.5952765443878483
7.099999999999991,0.1,6.089114263175145,7.34554212544125,1,0,321.0,0,1,0.5180614981420878,0.7700690011484165
4.899999999999999,0.1,3.543581519966998,7.9316464249831995,1,0,1008.0,0,1,0.10141141163999344,0.1546997335786054
5.4999999999999964,0.1,3.305472560972249,8.819294675915845,0,1,1011.0,1,1,21.779302515127085,44.63381993662078
4.200000000000001,0.1,6.6666995383685625,6.498535563826486,1,0,1012.0,1,1,0.07511026799474368,0.02175912530738587
4.100000000000001,0.1,3.4784729183007723,8.862153426646561,1,1,1012.0,1,1,0.03104001017621294,0.03099701842443759
7.599999999999989,0.1,6.83893075045722,5.284457924047828,1,1,1014.0,1,1,1.2887422753795863,1.6447200075554698
3.4000000000000017,0.1,3.3019658006676336,6.319979322408242,1,1,1014.0,1,1,0.4051941123715218,0.1846560174098044
4.200000000000001,0.1,5.282408223650181,7.643848910609781,1,0,1015.0,0,1,0.02144603977717288,0.00730362137054225
8.599999999999985,0.1,6.565692737993164,8.312346424857687,1,0,1019.0,0,1,0.020185416000708025,0.04466744620972302
4.899999999999999,0.1,6.631773930934318,7.711849821092525,1,0,1026.0,1,1,7.6649594092873e-11,2.7352709386940622e-11
5.299999999999997,0.1,7.438973367583339,9.944844227637084,1,0,1026.0,0,1,0.008279917370002256,0.0030367061358396986
16.89999999999997,0.1,9.102975569251857,7.9774783910545155,1,0,1028.0,0,1,1.4535793448702305,6.0280690137077775
4.799999999999999,0.1,2.49104158204573,6.381249940841181,1,0,1235.0,0,1,0.012721040418054134,0.024898957143367182
4.000000000000002,0.1,3.6827348579680863,5.4200352125739935,1,1,2177.0,1,1,0.20683078692551193,0.1525636870501878
3.1000000000000014,0.1,4.275866262589151,8.793731904886705,1,0,2970.0,0,1,0.4980154149202985,0.130953677697751
5.699999999999996,0.1,4.5114069587295065,6.293742324722208,1,0,3465.0,0,1,0.05499862272861167,0.0774302225306249
10.09999999999998,0.1,3.314213087760645,6.9400159774228944,0,0,4250.0,0,1,0.034800816576397796,0.11425715580208984
4.300000000000001,0.1,4.265192740026871,8.902240863965687,1,1,4255.0,1,1,0.08327183937081,0.04301520945260888
3.4000000000000017,0.1,7.0526146176360625,5.766957750732353,1,0,4643.0,1,1,1.1291227446823346e-17,2.549412143635305e-18
3.900000000000002,0.1,4.00521284969992,9.026085240649373,1,0,5880.0,0,1,2.2196597602150247e-9,8.728704358860524e-10
5.799999999999995,0.1,6.535458340092212,9.742910865776715,1,0,6552.0,1,1,0.4427785120874318,0.21015519588184467
3.900000000000002,0.1,3.7593206822729823,6.253674100992976,1,1,6726.0,1,1,1.148362320905713,0.6572532271813721
5.299999999999997,0.1,4.481663493344484,5.35477571072014,1,0,6727.0,0,1,0.03287856848783924,0.03882697167108245
8.399999999999986,0.1,6.024221226931598,5.0055119601445615,1,0,6730.0,0,1,2.3620945544039046e-7,4.82007525394734e-7
4.4,0.1,5.107426857056435,8.062183713640962,1,0,6797.0,0,1,3.5044719798827617,1.3220489139213913
5.099999999999998,0.1,4.401203213882879,8.02682006759474,1,1,6799.0,1,1,0.00016802301060525566,0.00017850093263997445
2.700000000000001,0.1,3.61000679373424,5.798403841053998,1,0,7019.0,1,1,0.41977487081652287,0.10419670744451985
5.999999999999995,0.1,4.480697562886348,7.252863161683653,1,1,7339.0,1,1,0.8952358406826495,1.530070903540772
7.899999999999988,0.1,4.03839803475217,8.51764053995183,1,0,7483.0,0,1,9.786969608973761e-6,2.8621120531644347e-5
4.6,0.1,4.5986784897875115,8.830823141958456,1,1,7881.0,1,1,0.00011815657234417036,6.325362480252898e-5
8.299999999999986,0.1,8.35264305376915,6.413422744516019,0,1,7882.0,1,1,0.2660858233695069,0.1911674330249386
5.399999999999997,0.1,5.781294072956505,6.677703735750731,1,0,7889.0,0,1,0.09136183722913095,0.04339239308479288
5.099999999999998,0.1,3.3338125338149345,9.7382906570897,1,1,8041.0,1,1,0.834023031116457,1.530362931619334
4.699999999999999,0.1,5.151942281703945,6.775533972438269,1,0,8252.0,1,1,1.6057057450589975,0.6715707803794146
8.199999999999987,0.1,10.452145752645492,8.156995334690041,1,0,8260.0,0,1,0.0737089519356113,0.040619170797955885
8.199999999999987,0.1,10.922475289209546,8.754081092901167,1,0,8260.0,0,1,3.545077194796068e-12,1.879052115660691e-12
8.599999999999985,0.1,3.729725750344753,5.016868208239725,1,0,8983.0,0,1,6.46259638719743e-8,1.6027001717203578e-7
6.8999999999999915,0.1,4.255963003887349,9.693009014595269,1,0,9534.0,0,1,1.9123094631069972e-6,4.7154164532483256e-6
8.399999999999986,0.1,7.932823096279302,9.49416363564115,1,1,10016.0,1,1,5.7175916284397193e-5,6.606906503787054e-5
9.299999999999983,0.1,5.320435284749441,7.638473692528204,1,0,10017.0,0,1,1.5013983700801297e-7,4.40113518948121e-7
