R0,VE,n_breach,net_FoI,net_FoI_maxVE,net_exp_days,breach_per_IA,FoI_per_IA,exp_days_per_IA,net_FoI_rel_base,net_FoI_maxVE_rel_base
1,0,4298,416.274080432338,416.274080432338,7563.4,0.107163127820211,0.00589803957077654,0.107163127820211,0.162672445575668,0.162672445575668
1,0.1,3771,369.387137786546,332.448424007891,6988.00000000002,0.110020679739387,0.00581571608275076,0.110020679739387,0.144349869214834,0.129914882293351
1,0.2,3260,325.152914574575,260.12233165966,6379.3,0.112895194033053,0.00575426792615324,0.112895194033053,0.127063928037431,0.101651142429944
1,0.3,2793,339.614177037243,237.72992392607,5400,0.108821165495517,0.00684392788222107,0.108821165495517,0.132715130073528,0.0929005910514697
1,0.4,2350,277.683568347721,166.610141008633,4787.19999999999,0.113255381277705,0.00656942647221234,0.113255381277705,0.108513758801382,0.0651082552808292
1,0.5,1835,221.080917904045,110.540458952023,3769.39999999999,0.107332667505492,0.00629522063278079,0.107332667505492,0.0863944580652555,0.0431972290326277
1,0.6,1419,211.30230273102,84.5209210924082,2789.29999999999,0.0972829663568056,0.00736963209683342,0.0972829663568056,0.082573150615877,0.0330292602463508
1,0.7,1005,104.11804488983,31.2354134669489,2080.8,0.0975416293471112,0.00488073997644639,0.0975416293471112,0.0406874647904933,0.012206239437148
1,0.8,561,71.4384335803675,14.2876867160735,1079.3,0.0760755189137651,0.00503540804689428,0.0760755189137651,0.0279168587353403,0.00558337174706806
1,0.9,270,25.5918912420217,2.55918912420217,516.199999999999,0.0733865068660968,0.00363831751714264,0.0733865068660968,0.0100008521571231,0.00100008521571231
2,0,5486,1379.17301430012,1379.17301430012,11459.6,0.162440798448996,0.019549894031399,0.162440798448996,0.538956081231756,0.538956081231756
2,0.1,4828,1023.37874331487,921.040868983382,10455.2,0.164168797608522,0.0160692151071353,0.164168797608522,0.399918060601523,0.359926254541371
2,0.2,4246,1005.50462513963,804.4037001117,9261.00000000001,0.164353436784267,0.0178445244405758,0.164353436784267,0.392933175755809,0.314346540604647
2,0.3,3541,814.907271649579,570.435090154705,7629.4,0.153816514956971,0.0164293648960904,0.153816514956971,0.318451148000744,0.22291580360052
2,0.4,2798,629.844743007977,377.906845804786,6036.29999999998,0.140197668124272,0.0146286241986068,0.140197668124272,0.246132030540247,0.147679218324148
2,0.5,2184,688.283404100499,344.14170205025,4913.59999999999,0.138914672377553,0.0194587804427564,0.138914672377553,0.268968811312701,0.13448440565635
2,0.6,1793,469.771897742319,187.908759096928,3791.6,0.134348452304196,0.0166455130809384,0.134348452304196,0.183578433202225,0.0734313732808899
2,0.7,1180,304.049965106768,91.2149895320304,2719.29999999999,0.125463053594378,0.0140282561937114,0.125463053594378,0.118817273825325,0.0356451821475974
2,0.8,654,194.291401242555,38.858280248511,1413.7,0.099393318119056,0.0136600884568851,0.099393318119056,0.0759255953712616,0.0151851190742523
2,0.9,287,139.2858237868,13.92858237868,582.1,0.0817422545518503,0.0195594180784139,0.0817422545518503,0.0544304021184501,0.00544304021184501
3,0,6309,2559.0805306442,2559.0805306442,14555.9,0.206287163131737,0.0362674560069972,0.206287163131737,1.00004277929727,1.00004277929727
3,0.1,5539,1816.71156782403,1635.04041104162,12692.5,0.199701322972995,0.0285837859802876,0.199701322972995,0.709938301555086,0.638944471399578
3,0.2,4913,2070.61646438416,1656.49317150733,11391.2000000001,0.200450372973641,0.0364365336901437,0.200450372973641,0.809159781845613,0.64732782547649
3,0.3,4096,1730.51746965461,1211.36222875822,9674.70000000001,0.195950421546423,0.0350497305004051,0.195950421546423,0.676255193712181,0.473378635598526
3,0.4,3253,1294.74531496004,776.847188976024,7468.70000000001,0.176318030885867,0.0305658206156969,0.176318030885867,0.505963250374466,0.30357795022468
3,0.5,2632,999.344791388042,499.672395694021,5898.69999999999,0.165601493310641,0.0280558410812673,0.165601493310641,0.390526023190199,0.1952630115951
3,0.6,1921,774.446135520605,309.778454208242,4524.19999999999,0.159570305562623,0.0273150184533876,0.159570305562623,0.302639661592476,0.12105586463699
3,0.7,1238,580.989536057544,174.296860817263,2870.5,0.13450984014931,0.0272248073936673,0.13450984014931,0.227040291786111,0.0681120875358334
3,0.8,804,329.256569260966,65.8513138521931,1840.7,0.130992501975185,0.0234313803440321,0.130992501975185,0.128667562697893,0.0257335125395785
3,0.9,317,133.457324238107,13.3457324238107,690.8,0.0985035003286183,0.0190301296785538,0.0985035003286183,0.0521527290175024,0.00521527290175024
4,0,7235,4007.27753833244,4007.27753833244,17361.3000000001,0.244149030186845,0.0563536673332867,0.244149030186845,1.56597219933547,1.56597219933547
4,0.1,6377,3418.09531983593,3076.28578785234,15255.6000000001,0.239319332457286,0.053620722240915,0.239319332457286,1.33573035417186,1.20215731875468
4,0.2,5369,3310.81144273381,2648.64915418705,12897.7,0.227220590903796,0.0583270298106657,0.227220590903796,1.29380573892579,1.03504459114063
4,0.3,4545,2722.70571723297,1905.89400206308,11209.5,0.22718364649798,0.0551812492244866,0.22718364649798,1.0639845679201,0.744789197544072
4,0.4,3753,2123.94720033371,1274.36832020022,9293.7,0.218847973920532,0.05001469183503,0.218847973920532,0.830000477072787,0.498000286243672
4,0.5,2997,1810.79360038672,905.396800193358,7372.69999999997,0.206558747394868,0.050732466787815,0.206558747394868,0.707625666007698,0.353812833003849
4,0.6,2210,1585.60920940102,634.243683760406,5489,0.19230113311335,0.0555500906618288,0.19230113311335,0.619627644249855,0.247851057699942
4,0.7,1462,697.559028428051,209.267708528415,3385.39999999999,0.158801769101334,0.032720980612921,0.158801769101334,0.272593558959821,0.0817780676879462
4,0.8,877,474.562390427702,94.9124780855404,2086.2,0.145689633209712,0.0331410318265441,0.145689633209712,0.185450471835604,0.0370900943671207
4,0.9,330,101.466016997685,10.1466016997685,753.4,0.106986551992032,0.0144086797225209,0.106986551992032,0.03965109984915,0.003965109984915
5,0,7830,5531.58282194542,5531.58282194542,19926.5000000001,0.280460120035823,0.0778555382144832,0.280460120035823,2.16164336875275,2.16164336875275
5,0.1,6929,5423.9388281099,4881.54494529891,18048.2000000001,0.282847619895733,0.0850028361826072,0.282847619895733,2.11957802634525,1.90762022371072
5,0.2,5972,4012.48438513806,3209.98750811045,15428.6,0.271496297533281,0.0706074857391523,0.271496297533281,1.56800694169255,1.25440555335404
5,0.3,5134,3535.63838904831,2474.94687233381,13612.8,0.274742141212159,0.0713584906528441,0.274742141212159,1.38166407771619,0.967164854401333
5,0.4,4106,3126.67986193637,1876.00791716182,10731.8,0.253250128861251,0.073783715494443,0.253250128861251,1.22185041918807,0.733110251512842
5,0.5,3268,2319.05806543163,1159.52903271582,8272.40000000002,0.233601556120197,0.0654871104900541,0.233601556120197,0.906246304223255,0.453123152111628
5,0.6,2453,1990.64890671221,796.259562684885,6026.39999999999,0.21135093264926,0.0698137367268778,0.21135093264926,0.777909894368356,0.311163957747342
5,0.7,1662,1426.44191264229,427.932573792688,4305.8,0.201407750459317,0.0667231308435531,0.201407750459317,0.55742791902911,0.167228375708733
5,0.8,891,1118.56700287872,223.713400575744,2259.9,0.160116786802499,0.0792518935900892,0.160116786802499,0.43711592542477,0.087423185084954
5,0.9,391,216.101954816616,21.6101954816616,882.2,0.123710173415765,0.0303037976715591,0.123710173415765,0.0844487685786032,0.00844487685786032
6,0,8654,7636.63615644685,7636.63615644685,23707.3,0.33412622409055,0.107629312646609,0.33412622409055,2.98426046188263,2.98426046188263
6,0.1,7523,7577.7419345224,6819.96774107016,20526.5000000001,0.32239578218344,0.11901844143739,0.32239578218344,2.96124565610665,2.66512109049598
6,0.2,6293,5948.29313201483,4758.63450561186,16859.6,0.299076897539993,0.105518342996361,0.299076897539993,2.32448628504767,1.85958902803813
6,0.3,5494,6188.7960439448,4332.15723076136,15299.5,0.307751069122242,0.124488290408413,0.307751069122242,2.41847051008297,1.69292935705808
6,0.4,4384,4369.5125419463,2621.70752516778,12239.5,0.28839256857352,0.10295640715602,0.28839256857352,1.70752714277508,1.02451628566505
6,0.5,3607,3504.33993830327,1752.16996915164,10098.8,0.28317356391324,0.098262806421836,0.28317356391324,1.36943320444122,0.684716602220608
6,0.6,2574,2854.71829446328,1141.88731778531,6740,0.236145133930139,0.100018966465704,0.236145133930139,1.11557271571565,0.446229086286262
6,0.7,1699,1311.18960281667,393.356880845001,4127.39999999999,0.192413611799327,0.0611258243038428,0.192413611799327,0.512389383172861,0.153716814951858
6,0.8,975,657.174697062917,131.434939412583,2486.49999999999,0.176384558355249,0.0466179242725466,0.176384558355249,0.256812086475919,0.0513624172951837
6,0.9,406,298.867145980461,29.8867145980461,967.5,0.133940302746567,0.0413750449753233,0.133940302746567,0.116791921054436,0.0116791921054436
7,0,9312,10993.4108659236,10993.4108659236,26718,0.377544818525493,0.155344910186065,0.377544818525493,4.29602782119071,4.29602782119071
7,0.1,7992,8715.94557783123,7844.35102004811,23093.3,0.361794066626376,0.136549449195123,0.361794066626376,3.40603522846696,3.06543170562026
7,0.2,7190,8499.91716310128,6799.93373048102,20766.4,0.36678988444004,0.150131155809569,0.36678988444004,3.32161519803543,2.65729215842834
7,0.3,5936,6635.30511182394,4644.71357827676,16828.1000000001,0.340323591341265,0.13418929441238,0.340323591341265,2.59295824654779,1.81507077258345
7,0.4,4803,6163.30998682151,3697.98599209291,13215.9,0.313568066350475,0.146234247753554,0.313568066350475,2.40851101600152,1.44510660960091
7,0.5,3790,3867.22786862774,1933.61393431387,10677.4,0.298851912707182,0.108240624629022,0.298851912707182,1.51124329993038,0.75562164996519
7,0.6,2841,3644.19969383037,1457.67987753215,7563.1,0.264259951479186,0.12733086092635,0.264259951479186,1.42408788879144,0.569635155516576
7,0.7,1909,1597.69228349779,479.307685049337,4971.5,0.2308155790147,0.0741772643071228,0.2308155790147,0.624349492920693,0.187304847876208
7,0.8,1088,1112.59942082747,222.519884165493,2726.79999999999,0.189576899672588,0.0773518955471572,0.189576899672588,0.434783901375992,0.0869567802751984
7,0.9,420,511.353987310711,51.1353987310711,936.099999999999,0.129755291263889,0.070880125587493,0.129755291263889,0.199827968112521,0.0199827968112521
8,0,9781,15268.5033449342,15268.5033449342,29598.8000000001,0.421192688094221,0.217271712604174,0.421192688094221,5.96665729660875,5.96665729660875
8,0.1,8829,13031.689563411,11728.5206070699,26911.5,0.421063760488194,0.20389692930846,0.421063760488194,5.09255058364738,4.58329552528264
8,0.2,7327,9566.97187028618,7653.57749622894,21677.4000000001,0.382765408457035,0.168927357322697,0.382765408457035,3.73860104207481,2.99088083365984
8,0.3,6220,7914.18368019332,5539.92857613532,18331.1,0.36868743963443,0.15917539688546,0.36868743963443,3.09272105689353,2.16490473982547
8,0.4,5089,7290.24093398883,4374.1445603933,15076.8,0.355380544279641,0.171840827698893,0.355380544279641,2.84889542086338,1.70933725251803
8,0.5,3895,4805.66185089191,2402.83092544596,10579.8,0.299700740194715,0.136133047301254,0.299700740194715,1.87796647123059,0.938983235615295
8,0.6,2878,3581.1415147949,1432.45660591796,8186.50000000001,0.285981905264448,0.125101285460533,0.285981905264448,1.39944588324885,0.559778353299541
8,0.7,2010,2119.31604185502,635.794812556508,5451.39999999999,0.252403487144514,0.0981257583970204,0.252403487144514,0.828190703390041,0.248457211017012
8,0.8,1140,1429.96518753057,285.993037506114,3034.8,0.215754650434535,0.10166127559286,0.215754650434535,0.55880475167244,0.111760950334488
8,0.9,414,876.723502675442,87.6723502675442,1016.2,0.140819047236879,0.121491210723219,0.140819047236879,0.34260782253307,0.034260782253307
9,0,10407,18783.0481888616,18783.0481888616,32541.7999999999,0.461472844250251,0.266361008653594,0.461472844250251,7.34007839516295,7.34007839516295
9,0.1,9032,18877.8047239115,16990.0242515204,28767,0.45305006212719,0.297305614175724,0.45305006212719,7.37710754978829,6.63939679480946
9,0.2,7961,13291.333273219,10633.0666185752,24821.2,0.437695784740971,0.234378698341554,0.437695784740971,5.19401468924083,4.15521175139266
9,0.3,6684,11205.6712747746,7843.96989234222,20137.6000000001,0.404972017522721,0.225348765684185,0.404972017522721,4.37897538249654,3.06528276774758
9,0.4,5349,8265.56956086542,4959.34173651925,16137.6,0.378409866159161,0.19381897377902,0.378409866159161,3.2300363576452,1.93802181458712
9,0.5,4261,6992.02949206817,3496.01474603409,12645.4,0.356544476760087,0.197144376353499,0.356544476760087,2.73235973719675,1.36617986859838
9,0.6,3082,5156.0297077318,2062.41188309272,8701.2,0.305265698077126,0.180889878181992,0.305265698077126,2.01488394652488,0.805953578609953
9,0.7,2086,3024.67735647676,907.403206943028,5652.19999999999,0.262944938898988,0.140710449504252,0.262944938898988,1.18198966926886,0.354596900780659
9,0.8,1154,787.74412714661,157.548825429322,2969,0.207514157784158,0.0550582886811202,0.207514157784158,0.30783627824658,0.0615672556493161
9,0.9,431,369.353694040058,36.9353694040058,1053.1,0.148342326619619,0.0520280945014273,0.148342326619619,0.144336799998455,0.0144336799998455
10,0,10825,18887.0164842214,18887.0164842214,35326.7999999999,0.49888969852554,0.266724921585316,0.49888969852554,7.38070734052258,7.38070734052258
10,0.1,9616,18475.6087647671,16628.0478882904,30910.5,0.48557427107239,0.290234071224033,0.48557427107239,7.21993658154852,6.49794292339367
10,0.2,8187,16328.8645592857,13063.0916474286,25853.5000000001,0.457232325999896,0.288784293166474,0.457232325999896,6.38102744368347,5.10482195494678
10,0.3,7032,13494.3800947356,9446.0660663149,22656.3000000001,0.455192588060153,0.271118487996279,0.455192588060153,5.27336174584392,3.69135322209074
10,0.4,5679,10232.6203824085,6139.57222944507,17717.4000000001,0.414121506660735,0.239174380544003,0.414121506660735,3.99872454351471,2.39923472610882
10,0.5,4416,8097.22410342875,4048.61205171437,13090.8,0.369750449957549,0.228706592083744,0.369750449957549,3.16424997182378,1.58212498591189
10,0.6,3287,6272.44380732386,2508.97752292954,9572.7,0.335180854636354,0.219624878665091,0.335180854636354,2.45115855595331,0.980463422381326
10,0.7,2270,4658.74276464375,1397.62282939312,6616.60000000001,0.30968623470431,0.218049830009139,0.30968623470431,1.82055312702979,0.546165938108938
10,0.8,1288,1816.47440478649,363.294880957297,3419.1,0.238572286240649,0.126746936810135,0.238572286240649,0.709845622493069,0.141969124498614
10,0.9,458,371.938972861933,37.1938972861933,1073.4,0.152775956560183,0.0529377048267129,0.152775956560183,0.14534708060015,0.014534708060015
