R0,VE,n_breach,net_FoI,net_FoI_maxVE,net_exp_days,breach_per_IA,FoI_per_IA,exp_days_per_IA,net_FoI_rel_base,net_FoI_maxVE_rel_base
3,0.9,388,161.560161133788,16.1560161133788,984.899999999999,0.136785559963818,0.0224379095426236,0.136785559963818,0.0631348137072014,0.00631348137072014
4,0,20613,27542.5464717398,27542.5464717398,109163.8,1.54554018529742,0.389947147108248,1.54554018529742,10.7631332397301,10.7631332397301
4,0.1,16055,19768.2103496227,17791.3893146605,82829.4999999998,1.30958211942556,0.312546795609165,1.30958211942556,7.72506210064176,6.95255589057758
4,0.2,12821,15522.2654160973,12417.8123328778,64024.6,1.12926594684976,0.273781730028182,1.12926594684976,6.06582296329539,4.85265837063631
4,0.3,9342,10589.86651767,7412.90656236901,44278.7999999999,0.896581915817236,0.21442954214345,0.896581915817236,4.13832992666779,2.89683094866745
4,0.4,7515,9772.51719424309,5863.51031654585,34754.6,0.822164433028349,0.231181370473683,0.822164433028349,3.81892446862586,2.29135468117552
4,0.5,5146,4849.96110697059,2424.98055348529,22301.2000000001,0.62663559077651,0.136277789693362,0.62663559077651,1.89527782608607,0.947638913043033
4,0.6,3518,3408.60464066488,1363.44185626595,14721.9,0.519394023646069,0.120256820066268,0.519394023646069,1.33202156694849,0.532808626779397
4,0.7,2112,1912.6312586652,573.78937759956,7435.59999999999,0.34852576515123,0.0896499640753201,0.34852576515123,0.747421996604728,0.224226598981419
4,0.8,1181,883.100313915453,176.620062783091,3780.59999999999,0.266667636341791,0.0622901849877077,0.266667636341791,0.345099766010093,0.0690199532020186
4,0.9,467,404.554693023152,40.4554693023152,1240.3,0.174539346206994,0.0569303488069274,0.174539346206994,0.158092719140332,0.0158092719140332
5,0,27297,45647.2294930379,45647.2294930379,152004.2,2.15082322415641,0.645897424623948,2.15082322415641,17.838118692555,17.838118692555
5,0.1,21953,36590.8338402839,32931.7504562555,120799.9,1.89556184649455,0.574174221659653,1.89556184649455,14.299041680111,12.8691375120999
5,0.2,16355,25094.7041974312,20075.763357945,86209.6999999999,1.52547346512828,0.444048701809942,1.52547346512828,9.80656037616937,7.8452483009355
5,0.3,12765,20394.7027832848,14276.2919482993,64781.4,1.31061321296169,0.412611751863953,1.31061321296169,7.96988410880669,5.57891887616468
5,0.4,8949,13284.0416933364,7970.42501600183,43363.9000000001,1.01390800306672,0.310599281567059,1.01390800306672,5.19116527058284,3.11469916234971
5,0.5,6113,8261.63213059707,4130.81606529854,28586.9000000001,0.798623912660959,0.230802814474564,0.798623912660959,3.2284976805064,1.6142488402532
5,0.6,4416,5842.50626625029,2337.00250650012,19679.9,0.68910099918953,0.20457811807195,0.68910099918953,2.28314667498636,0.913258669994543
5,0.7,2476,3346.84938278901,1004.0548148367,9893.59999999999,0.463607927016621,0.156831275207373,0.463607927016621,1.30788871962975,0.392366615888924
5,0.8,1239,1619.47599229047,323.895198458093,4506.59999999999,0.316156078490088,0.113612741075622,0.316156078490088,0.632862175668878,0.126572435133776
5,0.9,488,299.316061433526,29.9316061433526,1284.8,0.178934486854591,0.0416858389320869,0.178934486854591,0.116967349163078,0.0116967349163078
6,0,35654,75526.1427208423,75526.1427208423,208044.4,2.95156227345407,1.07150259038141,2.95156227345407,29.5142621624104,29.5142621624104
6,0.1,27873,58639.5103499644,52775.559314968,158149.1,2.48609229354199,0.921808816984238,2.48609229354199,22.9152690604259,20.6237421543833
6,0.2,20518,39525.7687003674,31620.6149602939,112764.1,1.98060245692789,0.694235440179201,1.98060245692789,15.4459615911446,12.3567692729157
6,0.3,15392,31030.6893476245,21721.4825433371,82609.9000000001,1.66870259090615,0.626813392970876,1.66870259090615,12.1262369226406,8.48836584584843
6,0.4,10981,21565.1870253334,12939.1122152,56710.7,1.33700043507748,0.508416655682227,1.33700043507748,8.42728836026544,5.05637301615926
6,0.5,7638,14552.8775237944,7276.4387618972,38762.7,1.09213485940094,0.410025742487708,1.09213485940094,5.68700355904959,2.84350177952479
6,0.6,4970,8275.27359521077,3310.10943808431,23037.8,0.821376743919691,0.295041943270573,0.821376743919691,3.23382852024458,1.29353140809783
6,0.7,2894,4161.31080768967,1248.3932423069,12109.2,0.567402920381238,0.194987274543085,0.567402920381238,1.6261656387164,0.48784969161492
6,0.8,1385,2086.55475037542,417.310950075085,5144,0.360694764561231,0.146308198761816,0.360694764561231,0.815388178189171,0.163077635637834
6,0.9,466,676.940833698474,67.6940833698474,1258.9,0.178338686713981,0.0958970047381474,0.178338686713981,0.264536338206292,0.0264536338206292
7,0,44741,111099.3428477,111099.3428477,264397.699999999,3.77239968225967,1.58515420390542,3.77239968225967,43.4156308365747,43.4156308365747
7,0.1,34908,86967.8644999976,78271.0780499978,204602.8,3.21968819524763,1.36855119625214,3.21968819524763,33.9854818489171,30.5869336640254
7,0.2,25537,63724.5039883682,50979.6031906946,144707.4,2.56367629952958,1.12896092787417,2.56367629952958,24.9023933849496,19.9219147079597
7,0.3,18998,43036.9202183447,30125.8441528413,105053.3,2.12946783764192,0.872373713497114,2.12946783764192,16.8180566387702,11.7726396471391
7,0.4,13598,31457.7687542589,18874.6612525553,73099.0999999999,1.72227167520716,0.741169509483383,1.72227167520716,12.2931318959238,7.37587913755426
7,0.5,9111,21247.1565566438,10623.5782783219,47131.9,1.32203919760821,0.595977964088046,1.32203919760821,8.3030077563528,4.1515038781764
7,0.6,5920,12309.8005985151,4923.92023940605,28487.4,0.99148172838361,0.428433004537914,0.99148172838361,4.81044932182549,1.9241797287302
7,0.7,3360,7754.83543487224,2326.45063046167,14995,0.699732311450881,0.361874553101991,0.699732311450881,3.03045062021958,0.909135186065874
7,0.8,1576,2497.83766464638,499.567532929276,6172.2,0.437401370034793,0.177012672408677,0.437401370034793,0.976110165535724,0.195222033107145
7,0.9,526,800.982830358881,80.0982830358881,1451.2,0.205551172750497,0.113452976938589,0.205551172750497,0.31300972605182,0.0313009726051819
8,0,53894,152666.609360039,152666.609360039,322774.399999998,4.59395048157325,2.17285770987324,4.59395048157325,59.6593731623876,59.6593731623876
8,0.1,42896,123440.835972611,111096.75237535,256882.299999999,4.06674007559047,1.95420935819326,4.06674007559047,48.2384650293722,43.414618526435
8,0.2,32071,93983.4643907921,75186.7715126337,188797.100000001,3.35210073951433,1.66868050667352,3.35210073951433,36.7270524752474,29.3816419801979
8,0.3,22380,63161.7267917944,44213.208754256,128268.900000001,2.60058452326868,1.28057080989752,2.60058452326868,24.6824701488312,17.2777291041819
8,0.4,15725,43394.07431272,26036.444587632,86524.3000000001,2.03129079925902,1.0187425254384,2.03129079925902,16.9576260539955,10.1745756323973
8,0.5,10556,26544.7798128079,13272.3899064039,56676.1,1.59037764261092,0.744868195629539,1.59037764261092,10.3732239224031,5.18661196120153
8,0.6,6631,17680.2697406183,7072.10789624733,33591.4,1.18603929474988,0.624251881557497,1.18603929474988,6.90913235375302,2.76365294150121
8,0.7,3841,9348.46156920221,2804.53847076066,18058,0.842822926530421,0.436321726565078,0.842822926530421,3.65321113496388,1.09596334048916
8,0.8,1770,3584.94400953665,716.98880190733,6968.2,0.483982201280534,0.24899530627752,0.483982201280534,1.40093183000366,0.280186366000732
8,0.9,568,680.794733208561,68.0794733208561,1682.1,0.239890583466704,0.0970906876942282,0.239890583466704,0.266042373022722,0.0266042373022722
9,0,67860,218331.701514903,218331.701514903,416308.099999992,5.90724348379293,3.09803849860081,5.90724348379293,85.3201136021699,85.3201136021699
9,0.1,50663,164759.52631718,148283.573685462,306086.899999998,4.82755607250383,2.5985622115006,4.82755607250383,64.3850682465459,57.9465614218913
9,0.2,38217,123761.209841736,99008.9678733888,226326.600000001,4.03329172352554,2.20550771914649,4.03329172352554,48.3636613921509,38.6909291137207
9,0.3,26499,83421.3275650598,58394.9292955419,153787.200000001,3.08914977174142,1.67569846519066,3.08914977174142,32.5995588149113,22.8196911704379
9,0.4,18233,54124.8195161575,32474.8917096945,102539.3,2.40902423098634,1.27159051907109,2.40902423098634,21.1510088446789,12.6906053068073
9,0.5,11560,31631.481380948,15815.740690474,62970.6999999999,1.77179169094164,0.890007509570941,1.77179169094164,12.3610156752394,6.18050783761971
9,0.6,7575,22947.4173449644,9178.96693798576,39708.1,1.38883859918343,0.802613546361017,1.38883859918343,8.96743918159373,3.58697567263749
9,0.7,4166,12154.5801444826,3646.37404334478,20043.7,0.94621035337496,0.573785756803142,0.94621035337496,4.74979195196328,1.42493758558899
