R0,VE,n_breach,net_FoI,net_FoI_maxVE,net_exp_days,breach_per_IA,FoI_per_IA,exp_days_per_IA,net_FoI_rel_base,net_FoI_maxVE_rel_base
3,0.5,2574,929.585386000517,464.792693000258,5705.89999999999,0.159959296766854,0.0260600123783079,0.159959296766854,0.363265298562552,0.181632649281276
3,0.6,1965,686.10221248092,274.440884992368,4094,0.143338257639011,0.0240216648019749,0.143338257639011,0.268116440743153,0.107246576297261
3,0.7,1373,419.482705795357,125.844811738607,2694.2,0.126456343705027,0.0196890539760866,0.126456343705027,0.163926318827147,0.0491778956481441
3,0.8,748,162.064734641686,32.4129469283372,1336.3,0.0934250157127845,0.0113304650006643,0.0934250157127845,0.0633319919855539,0.0126663983971108
3,0.9,320,58.4881637991637,5.84881637991637,525.4,0.0743449566709202,0.00827617054322517,0.0743449566709202,0.0228561255424758,0.00228561255424758
4,0,7534,5108.35004802086,5108.35004802086,20282.1000000001,0.290258527081751,0.0731059486323666,0.290258527081751,1.99625159055082,1.99625159055082
4,0.1,6475,4016.50065746232,3614.85059171608,16961.7000000001,0.267538494756058,0.0633526439026855,0.267538494756058,1.56957642889292,1.41261878600362
4,0.2,5418,3026.97529712108,2421.58023769686,13389.6,0.236190821103983,0.0533954547476024,0.236190821103983,1.18288766326361,0.946310130610892
4,0.3,4572,2563.1357203854,1794.19500426978,10890.5,0.218909139889225,0.051521402687564,0.218909139889225,1.00162747472627,0.70113923230839
4,0.4,3676,2039.26376127169,1223.55825676301,8752.00000000001,0.204289275703995,0.047600516083135,0.204289275703995,0.796907707718354,0.478144624631012
4,0.5,2836,1403.21207638279,701.606038191395,6598.9,0.186144001919163,0.039582280598159,0.186144001919163,0.548350115600343,0.274175057800171
4,0.6,2037,1094.0290395685,437.611615827401,4627.19999999999,0.162788934686971,0.0384888964963621,0.162788934686971,0.427526929403269,0.171010771761308
4,0.7,1511,713.519030034321,214.055709010296,3077.99999999999,0.144294135844802,0.0334491916334061,0.144294135844802,0.278830441376297,0.0836491324128892
