exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
4.6,0.1,2.9314735265609455,6.909661863034289,1,1,16970.0,1,1,2.793659087753396e-12,4.569320095252369e-12
5.899999999999995,0.1,5.944641127198095,6.284918353680419,1,1,21801.0,1,1,0.01064516619665579,0.005803225322123683
3.700000000000002,0.1,4.877930254108364,6.2825968793202325,1,0,34295.0,0,1,0.29612898377511165,0.08949685768860804
3.5000000000000018,0.1,2.952903198346655,9.837026433390815,1,1,38257.0,1,1,5.892141878535994e-7,5.193989512122797e-7
6.5999999999999925,0.1,5.354699865742229,7.858637642147129,0,1,40128.0,1,1,0.003097170130505567,0.004912285006442277
3.800000000000002,0.1,3.2140787715139685,8.48746902697022,1,0,50375.0,0,1,1.31652670485195e-7,1.179961265919718e-7
4.699999999999999,0.1,6.4122549166257095,7.5096021845908645,1,0,58813.0,0,1,0.0019356726063538899,0.0006672450632691463
6.999999999999991,0.1,7.074304452378648,9.446312713243461,1,1,70570.0,1,1,2.4908384810496798,1.5486055437072905
3.4000000000000017,0.1,4.353056279476575,5.184400047266284,1,0,108300.0,0,1,1.7993177605763917e-7,5.273088820242575e-8
5.799999999999995,0.1,4.1529219469772505,5.419340374159292,0,1,111368.0,1,1,6.739355608244623e-5,0.00011068282276864493
8.399999999999986,0.1,3.6363775676383927,9.664271680282956,1,0,112994.0,0,1,0.017314953986821268,0.05864076069827364
4.100000000000001,0.1,6.867395866402314,7.651677031785987,1,0,113526.0,0,1,5.558802451824233e-11,1.5394496659640028e-11
5.4999999999999964,0.1,4.880177354269226,7.973743940143025,1,1,116895.0,1,1,3.4856343163513612,3.813102006238554
3.5000000000000018,0.1,3.125750277692511,5.304696107033412,1,1,116898.0,1,1,0.000240048763344766,0.00016796293472429887
4.899999999999999,0.1,5.622161600437623,9.592404905223562,1,0,174962.0,1,1,0.44761918015327645,0.18424505104444894
5.099999999999998,0.1,5.754453557968328,6.510258942240284,1,0,182982.0,1,1,3.8678248706303013,1.666279513302447
4.999999999999998,0.1,6.090656070881144,7.219363039721868,1,0,189606.0,1,1,9.850432537843884e-16,3.889908907251635e-16
8.799999999999985,0.1,6.294034087645745,8.27663913954927,1,0,194803.0,0,1,0.0007026969166581897,0.0017435875277577802
4.5,0.1,7.896749801919056,9.735070209457904,1,0,227153.0,0,1,0.1152354730460177,0.033007274168021655
8.699999999999985,0.1,6.987402715030215,9.30056807913674,1,0,232711.0,0,1,1.8646798517536526e-10,3.90348225938826e-10
6.799999999999992,0.1,5.75941570220526,5.5722550994471955,1,1,237051.0,1,1,5.72735503676803e-7,8.097760235205467e-7
4.899999999999999,0.1,2.4861558383245974,8.90922950048922,0,1,261922.0,1,1,0.00031267048914495634,0.0006835103517606636
