exposure_days,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_discharged,symptomatic,vaccinated,FoI_max,FoI_community
0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0
4.899999999999999,0.1,4.823589824167925,8.886004694780484,1,1,438.0,1,1,2.4794932958878236e-13,1.3983058348098515e-13
6.8999999999999915,0.1,9.87634221430085,9.976682587740804,1,0,3108.0,1,1,5.788058363845571e-11,2.5342630683800185e-11
5.1999999999999975,0.1,4.678461950554026,5.387076720054763,0,1,18120.0,1,1,0.007001994323503284,0.0068106504160262
4.000000000000002,0.1,5.4045368716811995,7.842529490138367,1,0,21854.0,1,1,0.038172330642623584,0.011908400827755454
5.599999999999996,0.1,3.0180638293361324,7.920678836747358,1,0,40173.0,0,1,5.564728374903013e-7,1.2231669722358746e-6
4.300000000000001,0.1,6.080971382915593,7.189136136282106,1,0,41636.0,1,1,6.757389744156226e-19,2.1389799995236392e-19
6.8999999999999915,0.1,6.697836422379525,7.2878552690502705,0,1,41699.0,1,1,0.7341165243713726,0.6419374270388339
1.9000000000000006,0.1,1.6864865441070311,5.389416578080671,1,1,41787.0,1,1,0.09260991520003867,0.04685155933922861
2.500000000000001,0.1,3.4919752015151095,5.27718941482818,1,0,42553.0,1,1,5.320383008881467e-5,1.2319518711172229e-5
4.300000000000001,0.1,3.0563485107102757,5.31927149510527,1,0,52458.0,0,1,0.00014563602681879777,0.00019413932358534457
3.900000000000002,0.1,4.251979789771314,8.169733129144738,1,0,52857.0,0,1,8.182970329605746e-11,3.020369819075363e-11
3.0000000000000013,0.1,1.665880497142213,6.28578384049606,1,0,56175.0,0,1,0.00013130859660769875,0.00017561083288455796
11.999999999999973,0.1,4.229374433004573,7.960724304354601,1,0,59321.0,0,1,3.0088442372940527e-8,1.1449945168723012e-7
3.700000000000002,0.1,5.555672850209619,8.112066536437613,1,0,60021.0,1,1,2.1060568631109866e-8,5.829869506240246e-9
4.100000000000001,0.1,6.517527778556106,8.903830233055604,1,0,72674.0,0,1,1.894414230630286e-13,5.4010504291293464e-14
4.100000000000001,0.1,6.966191714899175,7.831450969477921,1,0,74004.0,1,1,7.335203538293773e-10,2.0161030246921008e-10
8.299999999999986,0.1,4.000631790807039,5.757729307453515,1,0,74074.0,0,1,7.000138604229622e-6,1.7975116841067234e-5
2.800000000000001,0.1,5.6789081347311825,6.449589032845458,1,0,76167.0,1,1,6.311654156689411e-21,1.2991989031932065e-21
3.1000000000000014,0.1,6.022818225954534,6.374156882891815,1,0,81874.0,0,1,1.0766895939482937e-10,2.3727289495924327e-11
4.5,0.1,4.880177354269226,7.973743940143025,1,0,82999.0,1,1,3.4856343163513612,1.4290489410987885
11.999999999999973,0.1,10.159126737272999,6.8280235617972,1,0,84763.0,0,1,2.6966864582097893e-11,6.142904834296858e-11
5.1999999999999975,0.1,6.2906965074552,6.836827656114308,1,0,85326.0,0,1,0.2537151673726998,0.10369481543594121
2.9000000000000012,0.1,2.5630901686536993,7.971098716723802,1,1,85328.0,1,1,0.0904466147312361,0.060541999093256936
3.4000000000000017,0.1,2.5464882783609344,9.110285479230123,1,0,94321.0,0,1,0.015765568439466617,0.01732845297040219
3.1000000000000014,0.1,5.068161766263858,9.206108339713207,1,0,94528.0,1,1,1.0930013092812259,0.2603038288767467
5.4999999999999964,0.1,9.01515969054948,6.179140778174473,1,0,100121.0,1,1,0.010132435618192161,0.0034404348281251787
4.999999999999998,0.1,3.5205239189638475,6.415668732033692,1,0,102179.0,0,1,1.4722854455155772,2.256352454677241
16.399999999999963,0.1,6.863426255607936,9.705804560797565,1,0,105551.0,0,1,0.2765251911183247,1.325937373069997
3.900000000000002,0.1,2.8430521312515307,5.145436511472241,0,1,105870.0,1,1,3.0550111057271474,3.6189689829610003
2.2000000000000006,0.1,2.1997791007886667,8.765628325905077,0,1,105872.0,1,1,0.013527019688169805,0.004879779367006398
5.799999999999995,0.1,9.253032256751245,7.537357186066775,1,0,105875.0,1,1,0.04655149519119656,0.01667308051254985
4.4,0.1,3.9131481334295986,8.308648181043166,1,1,117291.0,1,1,0.05456122295768995,0.0469588334941136
3.5000000000000018,0.1,5.356034869285036,9.553970387511269,1,0,122372.0,0,1,4.874716111769077,1.2903267097925801
7.29999999999999,0.1,3.8825023561268344,9.142517453443233,1,0,126140.0,0,1,0.0025216247363723837,0.007113472509290587
3.0000000000000013,0.1,1.5808259463213181,6.304890545320551,0,1,126758.0,1,1,0.0022926267424284476,0.003202148576640867
3.3000000000000016,0.1,6.387761095679531,6.981630840853791,1,0,127193.0,1,1,0.018353343397790704,0.004188340332297207
2.9000000000000012,0.1,4.952941056485825,9.179808641501713,1,0,140602.0,0,1,4.708710215018291e-6,1.0588324570298997e-6
3.900000000000002,0.1,2.8095922476284163,8.760750106584897,1,1,151265.0,1,1,0.9489118027428798,1.2055716210256529
4.100000000000001,0.1,2.51242089196775,5.178616193895257,1,0,151440.0,0,1,0.05041055515819113,0.07281095251301571
4.000000000000002,0.1,3.9811184712509062,7.442091374515934,0,1,151651.0,1,1,0.0004874598541261062,0.00024023976262192953
9.199999999999983,0.1,4.672940560413272,5.866375037450789,1,0,161567.0,0,1,0.053619732782258796,0.14730436358329618
4.300000000000001,0.1,3.3503384153204943,9.347021412052497,1,0,165973.0,0,1,2.5220831143172897,3.1275395468331677
4.899999999999999,0.1,4.467611203741563,7.86227406536586,1,0,165977.0,0,1,4.197350974698303,3.754575259195927
7.599999999999989,0.1,2.312151655251617,5.485046966215102,0,0,165981.0,0,1,1.2315398334670378e-8,3.1560923622348166e-8
5.1999999999999975,0.1,3.8455510043548324,6.2247723032692726,1,1,165982.0,1,1,0.6294676656858866,0.9379403685541869
4.699999999999999,0.1,4.601421773842959,8.024454896615467,1,0,170989.0,0,1,3.419160212756941e-13,1.8843665668285458e-13
5.599999999999996,0.1,4.986954545714369,9.7144888253256,1,1,171286.0,1,1,2.1794216912210742e-14,2.4252808176152012e-14
6.8999999999999915,0.1,6.663593760909305,6.4932263046543115,1,1,174972.0,1,1,0.032898943346680254,0.02873464034657713
3.600000000000002,0.1,5.222523379034526,7.189028567982742,1,0,175979.0,1,1,0.0005364111477460142,0.00014920289258366965
3.600000000000002,0.1,6.497372715535112,8.020453386897167,1,0,176367.0,0,1,3.47189833345511e-10,8.573813876692811e-11
3.4000000000000017,0.1,4.777506975310943,8.897008573975722,1,0,176367.0,1,1,0.0014268360981317116,0.00039141322561655334
4.799999999999999,0.1,4.857057678127702,8.053543519379925,0,1,185905.0,1,1,0.5934472005089462,0.275319746506665
5.799999999999995,0.1,8.79698368749903,9.922508623264052,1,0,186427.0,1,1,0.018648825134863208,0.006901836385044289
8.299999999999986,0.1,7.399207370903563,5.265934614423956,1,0,189623.0,0,1,3.244138120584973e-9,4.740507013564132e-9
14.199999999999966,0.1,4.545502813808067,9.767717940226904,0,0,199191.0,0,1,1.8179631820281922e-7,8.449425753002301e-7
3.5000000000000018,0.1,4.689516000102607,7.4773696040231465,1,0,199738.0,1,1,0.10833126987567356,0.03125255187328638
6.099999999999994,0.1,5.1117268592988685,8.404144996404467,0,1,199740.0,1,1,6.893310849838603e-13,9.343067001384251e-13
9.499999999999982,0.1,4.683055236254771,9.802076624914253,1,0,203777.0,0,1,0.0009126082412845747,0.003228878905737661
4.300000000000001,0.1,3.635515124926287,7.0297642037164065,1,1,205750.0,1,1,0.0002117551915501082,0.00021087130235668928
4.5,0.1,2.3797906290720685,8.970337487286994,1,1,207790.0,1,1,7.897115497872653e-6,1.5816202932814493e-5
5.1999999999999975,0.1,4.6657414986889405,9.09090989394565,1,1,215729.0,1,1,2.6424394346832676e-6,2.6462371503983944e-6
3.900000000000002,0.1,3.179658916418308,5.653065149555773,1,1,220941.0,1,1,4.117760854750763e-12,4.2021425116701984e-12
5.4999999999999964,0.1,5.041058513913893,8.638771662065405,0,1,221757.0,1,1,0.5297321515981219,0.49882170302100065
7.39999999999999,0.1,6.236151133039868,5.620680171234493,1,0,233077.0,0,1,0.007012015528196795,0.01060087360022383
6.8999999999999915,0.1,6.836498279312295,7.0729532599758835,0,1,238889.0,1,1,0.2532462061490101,0.17903675108402364
4.100000000000001,0.1,6.229234286062616,7.544875394410992,1,0,240562.0,0,1,0.09918642500301225,0.029052270637081174
4.4,0.1,4.363269827159076,9.29400523394623,1,1,250184.0,1,1,1.9739144463297107e-7,1.0345696393510724e-7
5.4999999999999964,0.1,3.3813950353172553,7.383754871727749,1,1,250469.0,1,1,1.7664279794967577,3.5184397077774756
4.799999999999999,0.1,4.058139283477345,8.628240520442473,1,1,250473.0,1,1,8.023082589735551e-6,9.007562704195517e-6
5.699999999999996,0.1,9.7368871965096,8.43997663860376,1,0,250474.0,0,1,3.4676527602193777e-6,1.1781105264954565e-6
5.1999999999999975,0.1,6.895561374757688,9.321678739630137,1,0,250474.0,0,1,0.00044032620871882114,0.00016642223791752824
5.099999999999998,0.1,8.119990019633748,8.979694114192132,1,0,253673.0,0,1,0.19694151937914217,0.06464345333543431
4.300000000000001,0.1,4.193447654884135,8.357227659903526,0,1,256687.0,1,1,1.92216963148417e-8,1.1569865336888816e-8
4.699999999999999,0.1,4.882922709191207,5.273168614134397,1,0,264144.0,1,1,0.0035047321856372703,0.0015532620812889137
6.8999999999999915,0.1,7.631593592938309,5.137547758072758,1,0,273836.0,0,1,2.849070288319483,1.5770167703138123
3.800000000000002,0.1,6.994090876438818,5.917093555936454,1,0,273839.0,1,1,6.2497896658094945,1.5782411938227936
4.5,0.1,4.29939362704904,7.400395070143839,0,1,273840.0,1,1,0.0008868034521292479,0.0006210521068230721
4.300000000000001,0.1,3.7978729841686065,9.667176026401078,1,1,278149.0,1,1,0.00011509879581309705,0.00010805375841388347
2.400000000000001,0.1,2.038602338173769,9.172478325284093,1,1,278767.0,1,1,8.00936369826199,5.106366656316277
4.100000000000001,0.1,2.431081486706635,9.082550508577132,1,0,278771.0,0,1,6.598946220415347e-5,0.00011098506176586913
4.200000000000001,0.1,2.7893434346733774,5.0357472652213335,1,0,278771.0,0,1,2.488491498592782e-5,3.532984526075202e-5
6.999999999999991,0.1,8.155890108703485,9.282984670651558,1,0,285845.0,0,1,1.699309584171695,0.9008026133546188
4.200000000000001,0.1,6.063073764358194,5.221114943672536,1,0,289226.0,0,1,5.077820731017423e-13,1.5608654466872177e-13
3.700000000000002,0.1,2.890184337328428,7.793975625147681,1,1,300690.0,1,1,1.3481063252924703e-9,1.4951087351110429e-9
4.699999999999999,0.1,4.029849343975256,7.936796675105137,1,1,304297.0,1,1,0.13225093434321086,0.1366869318874614
5.399999999999997,0.1,4.883654335879068,8.401851972060443,1,0,304297.0,0,1,0.000264804311927684,0.0002681409985671263
3.900000000000002,0.1,2.252022044517572,5.017160321754586,1,0,305680.0,0,1,0.23045985898759822,0.33974007209787016
5.1999999999999975,0.1,9.341104525694657,9.470994642162369,1,0,305685.0,1,1,0.06146493986818862,0.019099972882696686
4.300000000000001,0.1,8.095356813092524,9.600758579213048,1,0,306474.0,1,1,1.905454781024432e-5,5.127682613448244e-6
5.1999999999999975,0.1,9.234445151892364,6.248774894879819,1,0,306474.0,0,1,0.0011883789530982155,0.00037149830721469785
5.099999999999998,0.1,4.378680033827877,6.502864049461101,1,0,306474.0,0,1,2.7619738400889352e-14,3.0978852685499145e-14
3.900000000000002,0.1,5.39778890216574,6.542424581324646,1,0,311108.0,1,1,1.1827895682140893e-8,3.56852928041679e-9
5.699999999999996,0.1,2.6357593465049285,5.6790712947443565,1,0,316893.0,0,1,0.00035832980330204294,0.0007679011510520462
6.299999999999994,0.1,4.92065913215154,6.176213901464871,1,1,317950.0,1,1,0.0024525489381890917,0.0038311663089582535
8.499999999999986,0.1,4.406845920459809,8.056938863634187,1,0,320393.0,0,1,5.623975498004389e-6,1.661605915187055e-5
6.199999999999994,0.1,3.648604950253272,9.030802209777654,0,1,329706.0,1,1,1.1792928057674357,2.7422799072302793
7.19999999999999,0.1,3.751981848302561,6.092541950331064,1,0,336486.0,0,1,0.015442113439540724,0.03747573265554885
11.299999999999976,0.1,13.754428732724412,7.766016351216713,1,0,337568.0,1,1,5.2030059755976005e-6,3.903694023142606e-6
5.4999999999999964,0.1,9.134751379937269,5.537926292067525,1,0,338832.0,1,1,4.2800194252810195,1.4420181849236793
4.699999999999999,0.1,9.414269571737547,6.35815908943175,1,0,341413.0,0,1,0.11447383426740343,0.0316595272201491
3.3000000000000016,0.1,5.829785040129943,8.502919088170511,1,0,343514.0,1,1,0.00013194763878779587,3.132916708033568e-5
6.299999999999994,0.1,4.647572959103667,8.092068446315645,1,1,344637.0,1,1,4.686256983704904e-6,8.4910590520414e-6
3.3000000000000016,0.1,1.8378993775360113,6.006088136905801,1,1,348938.0,1,1,0.00026592098853767305,0.0003707558791497629
3.1000000000000014,0.1,3.0385327374259394,9.676519115860591,1,1,354160.0,1,1,9.590095316690526e-6,4.145652117487531e-6
