exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
0.1,4.000000000000002,0.0,9.99999999999998,0.1,5.78274409135041,9.055931608685434,32.0,1,0,1,1.0,0.014951148628240998,0.00021525063321811678
2.1000000000000005,2.0000000000000004,4.000000000000002,9.99999999999998,0.1,9.342868714726933,7.306777336598557,268.0,0,1,1,1.0,0.14141751253205295,0.056840554378922326
1.0999999999999999,12.99999999999997,0.0,9.99999999999998,0.1,11.334412082825361,7.593123283054597,280.0,0,0,1,1.0,1.2124329531724674,0.21882205365915242
2.1000000000000005,4.000000000000002,0.0,9.99999999999998,0.1,8.174220841175474,9.875425800495456,707.0,1,0,1,1.0,1.051208262916072e-5,3.930639560092534e-6
8.999999999999984,13.999999999999966,0.0,0.0,0.1,4.76316341583522,5.357785037322702,1233.0,0,0,1,1.0,2.436402604733506e-10,6.356870062399945e-10
1.9000000000000006,4.000000000000002,4.000000000000002,9.99999999999998,0.1,8.939136620442012,9.249620402737424,1245.0,0,1,1,1.0,0.0003312881067057072,0.00011144978467785275
0.2,4.000000000000002,4.000000000000002,9.99999999999998,0.1,5.857070138906904,8.59577199448161,1327.0,0,0,1,1.0,2.9991680146591528e-5,8.771453238706012e-7
0.6,4.000000000000002,0.0,9.99999999999998,0.1,8.122823579439396,7.402492215885896,1482.0,1,1,1,1.0,0.1421538616739021,0.01329793955014083
1.6000000000000003,4.000000000000002,0.0,9.99999999999998,0.1,5.3662480032811075,9.955336101788452,1480.0,0,1,1,1.0,0.6656747228748922,0.17764153291640478
1.7000000000000004,4.000000000000002,0.0,9.99999999999998,0.1,8.209621479925616,7.534751493924823,1502.0,1,1,1,1.0,0.014880099811131626,0.0045623553863642
2.3000000000000007,0.9999999999999999,4.000000000000002,9.99999999999998,0.1,7.568479289748595,9.20653817106764,1912.0,0,1,1,1.0,1.3583411957047309,0.5777730692678217
1.3,4.000000000000002,0.0,9.99999999999998,0.1,12.56869287973318,7.606175540776433,2056.0,1,1,1,1.0,0.8850923467328754,0.1957397898685409
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,5.4932247541853565,9.996395105415804,2264.0,1,0,1,1.0,0.0009608292262847686,0.0001523844935913412
1.3,4.000000000000002,0.0,9.99999999999998,0.1,8.261473810157375,9.530981818784278,2926.0,1,1,1,1.0,0.08721880842904414,0.01852094552044823
7.39999999999999,13.999999999999966,0.0,0.0,0.1,4.026986890816379,8.907170892008395,2941.0,0,0,1,1.0,3.7236924552290194e-11,9.79377525048539e-11
2.800000000000001,4.000000000000002,12.99999999999997,9.99999999999998,0.1,16.41003220297271,9.854881030788647,2978.0,0,1,1,1.0,0.2221903738537066,0.11902285200096434
0.4,4.000000000000002,0.0,9.99999999999998,0.1,7.0260003628151475,7.781726719768125,3135.0,1,0,1,1.0,0.5984955119784524,0.03629899667603324
1.2,4.000000000000002,0.0,9.99999999999998,0.1,8.95804783747098,9.039859111014808,3191.0,1,1,1,1.0,1.2328830070568069e-6,2.403470407128113e-7
0.2,4.000000000000002,0.0,9.99999999999998,0.1,9.237338863379348,5.2353813832986,3417.0,1,1,1,1.0,0.0031681411693144667,9.531059876935596e-5
1.2,4.000000000000002,4.000000000000002,9.99999999999998,0.1,6.333755479150656,9.756798321674394,3844.0,0,1,1,1.0,0.07133586422347826,0.013928435969332582
12.69999999999997,13.999999999999966,0.0,0.0,0.1,9.733958948022417,6.000385511295628,3931.0,0,0,1,1.0,0.0002713562895555476,0.0008600983611468001
0.7999999999999999,4.000000000000002,13.999999999999966,0.0,0.1,4.685663986634109,7.0934949934509595,3944.0,0,0,1,1.0,1.2120274871133037,0.156131561719582
3.0000000000000013,4.000000000000002,4.000000000000002,9.99999999999998,0.1,9.498150226511529,8.704312179328868,4223.0,0,1,1,1.0,0.00010037562886261799,6.064158210736053e-5
0.5,4.000000000000002,0.0,9.99999999999998,0.1,8.478077778138237,9.986921865543586,4229.0,1,1,1,1.0,1.673063457844004e-7,1.2655894958478485e-8
0.2,4.000000000000002,0.0,9.99999999999998,0.1,6.530103925596353,8.77639697750288,4384.0,1,1,1,1.0,7.724606950443796,0.22704240526523511
2.500000000000001,4.000000000000002,0.0,9.99999999999998,0.1,9.010427980543025,9.256696411536995,4434.0,1,0,1,1.0,0.32745091595712644,0.15499994825715746
0.7,4.000000000000002,0.0,9.99999999999998,0.1,7.726171448961517,9.191411564980807,4587.0,1,1,1,1.0,0.24730587381790675,0.02683501625068696
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,6.084979974223286,9.279607864592062,4821.0,1,1,1,1.0,2.2387574989110555e-10,3.588691347143881e-11
0.4,0.9999999999999999,4.000000000000002,9.99999999999998,0.1,7.341879624065098,7.829509810047912,4866.0,0,1,1,1.0,0.5586573827442957,0.03374204300785429
15.099999999999962,13.999999999999966,0.0,0.0,0.1,5.565600083785638,9.759809460955061,4852.0,0,0,1,1.0,0.13166528227607968,0.6099491249264405
1.2,4.000000000000002,0.0,9.99999999999998,0.1,8.834611224303057,7.039622965565787,4894.0,1,1,1,1.0,0.12556565152164348,0.025284805461728163
9.299999999999983,4.000000000000002,13.999999999999966,0.0,0.1,4.1382152044712885,8.060646708463175,4954.0,0,0,1,1.0,0.0030939251739133702,0.011199551376945274
15.89999999999996,13.999999999999966,0.0,0.0,0.1,6.269576122434957,9.938255421105012,4978.0,0,1,1,1.0,1.3359769402322814e-6,6.366843301963226e-6
